electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Moved 1393.277 355.8165 251.9172 -0.009683966 -0.3500072
Moved 1393.308 358.6875 240.2499 -0.003038148 -0.3800158
Moved 1393.339 360 229.7529 0 -0.4070141
Moved 1393.37 360 221.844 0 -0.427356
Moved 1393.4 360 211.2361 0 -0.4546398
Moved 1393.431 360 202.5626 0 -0.476948
Moved 1393.462 360 197.6333 0 -0.4896263
Moved 1393.492 360 195.5 0 -0.4951132
Moved 1393.523 360 193.5 0 -0.5002573
Moved 1393.554 360 192.7238 0 -0.5022537
Stationary 1393.585 360 193 0 -0.5015433
Moved 1393.615 366.5932 213.9746 0.01526207 -0.4475962
Moved 1393.646 378.1288 246.6685 0.04196475 -0.363507
Moved 1393.677 389.4128 285.6509 0.06808509 -0.2632436
Moved 1393.708 402.5818 325.4363 0.09856899 -0.1609149
Moved 1393.738 419 377.5 0.1365741 -0.02700625
Moved 1393.769 434.2881 424.6272 0.1719633 0.09420567
Moved 1393.8 448.2678 463.2963 0.2043236 0.1936633
Moved 1393.83 460.2393 497.0982 0.2320354 0.2806023
Moved 1393.861 469.9993 521.3315 0.254628 0.3429307
Moved 1393.892 479.0756 546.2269 0.275638 0.4069621
Moved 1393.923 485.0848 560.2121 0.2895482 0.4429322
Moved 1393.953 490.9279 574.7836 0.3030737 0.4804102
Moved 1393.984 494 583.5982 0.3101851 0.5030817
Moved 1394.015 494 589 0.3101851 0.5169753
Stationary 1394.046 494 589 0.3101851 0.5169753
Moved 1394.076 494 590 0.3101851 0.5195472
Moved 1394.107 420.2745 505.9656 0.1395243 0.3034095
Moved 1394.138 409.6176 491.0384 0.1148556 0.2650164
Moved 1394.168 377.0672 441.7075 0.03950745 0.1381366
Moved 1394.199 359.6127 409.2255 -0.0008964539 0.0545922
Moved 1394.23 350.7281 390.1841 -0.02146284 0.005617573
Moved 1394.261 344.7149 375.1448 -0.03538211 -0.03306369
Moved 1394.291 339.9748 363.437 -0.04635463 -0.06317648
Moved 1394.322 336.6145 354.8434 -0.05413318 -0.08527928
Moved 1394.353 335 348.4626 -0.05787035 -0.1016909
